seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,all_to_one_like,2,NCCL-D,nccl,D,4,4,512,1983.363,134.685,317.772,228186.78399999999,156.5055,228343.2895,320.81,68.802,0.0,False,0
13042,all_to_one_like,2,NCCL-D,nccl,D,5,5,512,1945.122,124.349,315.042,257730.46250000002,157.26850000000002,257887.731,318.064,65.399,0.0,False,0
13042,all_to_one_like,2,NCCL-D,nccl,D,6,6+7,1024,1846.904,146.255,567.942,284790.6635,373.82750000000004,285164.49100000004,570.962,69.29,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,0,0,512,836.836,830.883,839.3,16539.5765,219.89550000000003,16759.472,842.18,11.568,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,1,1,512,878.359,11956.655,12109.598,50400.361000000004,143.90050000000002,50544.2615,12160.764,100.719,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,2,2,512,852.786,11920.798,12074.27,91988.301,150.501,92138.802,12077.276,79.983,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,3,3,512,870.825,11922.738,12084.928,133582.8915,149.796,133732.6875,12088.102,74.417,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,4,4,512,904.635,11921.761,12089.368,175235.346,151.6845,175387.0305,12092.388,70.793,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,5,5,512,899.955,11935.593,12095.868,216198.161,153.23250000000002,216351.3935,12098.888,71.548,0.0,False,0
13042,all_to_one_like,2,NCCL-P,nccl,P,6,6+7,1024,902.229,23889.374,24391.736,266880.7995,320.9,267201.6995,24394.696,82.077,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,0,0,512,1003.862,5686.956,5460.691,127839.424,1098.8695,128938.2935,8560.41,1560.102,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,1,1,512,944.975,5471.305,7379.753,126987.728,1896.1589999999999,128883.88700000002,10753.815,1695.7414999999999,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,2,2,512,926.746,7370.02,9636.613,129261.893,2025.8345,131287.72749999998,12492.55,1436.664,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,3,3,512,943.318,9623.843,11406.113,131636.61349999998,1766.022,133402.6355,14053.144,1331.711,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,4,4,512,937.193,11375.911,12999.44,133782.006,1645.0045,135427.0105,15552.269,1330.1725000000001,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,5,5,512,936.113,13002.952,14483.206,135338.6385,1602.476,136941.1145,16586.519,1099.2740000000001,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-D,mscclpp,D,6,6+7,1024,903.576,14499.73,14632.738,137298.588,1470.601,138769.189,22542.113,3994.1175,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,0,0,512,429.659,50.0,68.997,18891.8165,946.9465,19838.763,2941.953,1505.793,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,1,1,512,382.515,118.629,28.284,33400.623999999996,871.4114999999999,34272.0355,2530.932,1259.519,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,2,2,512,375.452,81.333,5.745,50104.162500000006,863.596,50967.758499999996,2672.245,1341.4375,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,3,3,512,380.541,230.105,159.355,66811.053,870.616,67681.669,2820.73,1338.883,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,4,4,512,391.742,223.845,147.074,83582.97750000001,865.9235,84448.901,2244.23,1056.7735,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,5,5,512,371.163,214.955,159.354,99845.131,879.1175000000001,100724.2485,3413.62,1635.328,0.0,False,0
13042,all_to_one_like,2,MSCCLPP-P,mscclpp,P,6,6+7,1024,203.891,249.719,124.542,134353.776,1579.1844999999998,135932.9605,7080.573,3486.7185,0.0,False,0
13042,balanced,0,NCCL-D,nccl,D,0,0,512,2063.724,144.446,139.682,162656.76,118.566,162775.326,315.584,177.48899999999998,0.0,False,0
13042,balanced,0,NCCL-D,nccl,D,1,1,512,2222.076,132.056,306.394,175408.497,163.04500000000002,175571.54200000002,309.354,72.571,0.0,False,0
13042,balanced,0,NCCL-D,nccl,D,2,2,512,2166.481,116.291,303.502,192647.386,165.8965,192813.2825,306.522,66.81800000000001,0.0,False,0
