config_id,scenario,topk,chunks,pair_index,order,P_e2e_ms,D_e2e_ms,D_minus_P_ms,relative_speedup
balanced_topk1_chunks2,balanced,1,2,81,"P,D",0.7782400250434875,0.7772160172462463,-0.001024007797241211,-0.001317533059688312
balanced_topk1_chunks2,balanced,1,2,82,"D,P",0.7772160172462463,0.7782400250434875,0.001024007797241211,0.0013157994504124741
balanced_topk1_chunks2,balanced,1,2,83,"P,D",0.7782400250434875,0.7782400250434875,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,84,"D,P",0.7772160172462463,0.7782400250434875,0.001024007797241211,0.0013157994504124741
balanced_topk1_chunks2,balanced,1,2,85,"P,D",0.779263973236084,0.779263973236084,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,86,"D,P",0.7782400250434875,0.7782400250434875,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,87,"P,D",0.779263973236084,0.779263973236084,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,88,"D,P",0.7782400250434875,0.779263973236084,0.0010239481925964355,0.0013139940094294884
balanced_topk1_chunks2,balanced,1,2,89,"P,D",0.7782400250434875,0.7782400250434875,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,90,"D,P",0.779263973236084,0.779263973236084,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,91,"P,D",0.779263973236084,0.7772160172462463,-0.0020479559898376465,-0.002634989429442999
balanced_topk1_chunks2,balanced,1,2,92,"D,P",0.7782400250434875,0.7782400250434875,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,93,"P,D",0.779263973236084,0.779263973236084,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,94,"D,P",0.7915520071983337,0.7854080200195312,-0.00614398717880249,-0.00782266926514158
balanced_topk1_chunks2,balanced,1,2,95,"P,D",0.7772160172462463,0.7782400250434875,0.001024007797241211,0.0013157994504124741
balanced_topk1_chunks2,balanced,1,2,96,"D,P",0.7782400250434875,0.7751680016517639,-0.003072023391723633,-0.003963042056918788
balanced_topk1_chunks2,balanced,1,2,97,"P,D",0.7772160172462463,0.7761920094490051,-0.001024007797241211,-0.0013192712431658793
balanced_topk1_chunks2,balanced,1,2,98,"D,P",0.7772160172462463,0.7772160172462463,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,99,"P,D",0.7751680016517639,0.7772160172462463,0.002048015594482422,0.002635066119376624
balanced_topk1_chunks4,balanced,1,4,0,"D,P",2.203648090362549,2.1913599967956543,-0.012288093566894531,-0.005607519341807353
balanced_topk1_chunks4,balanced,1,4,1,"P,D",2.1780478954315186,2.1923840045928955,0.014336109161376953,0.006539050244548299
balanced_topk1_chunks4,balanced,1,4,2,"D,P",2.180095911026001,2.1934080123901367,0.013312101364135742,0.006069140483183366
balanced_topk1_chunks4,balanced,1,4,3,"P,D",2.1770238876342773,2.1923840045928955,0.015360116958618164,0.007006125262016035
balanced_topk1_chunks4,balanced,1,4,4,"D,P",2.1790719032287598,2.194432020187378,0.015360116958618164,0.006999586597951025
balanced_topk1_chunks4,balanced,1,4,5,"P,D",2.181119918823242,2.1934080123901367,0.012288093566894531,0.005602283522938492
balanced_topk1_chunks4,balanced,1,4,6,"D,P",2.1790719032287598,2.1923840045928955,0.013312101364135742,0.006071975227080564
balanced_topk1_chunks4,balanced,1,4,7,"P,D",2.180095911026001,2.190335988998413,0.01024007797241211,0.004675117435793331
balanced_topk1_chunks4,balanced,1,4,8,"D,P",2.1790719032287598,2.194432020187378,0.015360116958618164,0.006999586597951025
balanced_topk1_chunks4,balanced,1,4,9,"P,D",2.1790719032287598,2.1934080123901367,0.014336109161376953,0.006535997443428241
balanced_topk1_chunks4,balanced,1,4,10,"D,P",2.1831679344177246,2.1934080123901367,0.01024007797241211,0.004668569602448744
balanced_topk1_chunks4,balanced,1,4,11,"P,D",2.1790719032287598,2.1923840045928955,0.013312101364135742,0.006071975227080564
balanced_topk1_chunks4,balanced,1,4,12,"D,P",2.1760001182556152,2.1934080123901367,0.017407894134521484,0.007936459626383995
balanced_topk1_chunks4,balanced,1,4,13,"P,D",2.1760001182556152,2.1934080123901367,0.017407894134521484,0.007936459626383995
balanced_topk1_chunks4,balanced,1,4,14,"D,P",2.174976110458374,2.1913599967956543,0.016383886337280273,0.007476583656376786
balanced_topk1_chunks4,balanced,1,4,15,"P,D",2.1760001182556152,2.194432020187378,0.018431901931762695,0.008399395270484994
balanced_topk1_chunks4,balanced,1,4,16,"D,P",2.1760001182556152,2.1934080123901367,0.017407894134521484,0.007936459626383995
balanced_topk1_chunks4,balanced,1,4,17,"P,D",2.1770238876342773,2.1923840045928955,0.015360116958618164,0.007006125262016035
balanced_topk1_chunks4,balanced,1,4,18,"D,P",2.1780478954315186,2.1923840045928955,0.014336109161376953,0.006539050244548299
balanced_topk1_chunks4,balanced,1,4,19,"P,D",2.1780478954315186,2.1923840045928955,0.014336109161376953,0.006539050244548299
balanced_topk1_chunks4,balanced,1,4,20,"D,P",2.1790719032287598,2.195456027984619,0.016384124755859375,0.007462743296616897
balanced_topk1_chunks4,balanced,1,4,21,"P,D",2.1780478954315186,2.194432020187378,0.016384124755859375,0.007466225704481093
balanced_topk1_chunks4,balanced,1,4,22,"D,P",2.180095911026001,2.194432020187378,0.014336109161376953,0.006532947491420957
balanced_topk1_chunks4,balanced,1,4,23,"P,D",2.1760001182556152,2.1934080123901367,0.017407894134521484,0.007936459626383995
balanced_topk1_chunks4,balanced,1,4,24,"D,P",2.1770238876342773,2.1913599967956543,0.014336109161376953,0.0065421058987752455
balanced_topk1_chunks4,balanced,1,4,25,"P,D",2.1780478954315186,2.1975040435791016,0.019456148147583008,0.008853748508191385
balanced_topk1_chunks4,balanced,1,4,26,"D,P",2.1780478954315186,2.1923840045928955,0.014336109161376953,0.006539050244548299
balanced_topk1_chunks4,balanced,1,4,27,"P,D",2.1770238876342773,2.1923840045928955,0.015360116958618164,0.007006125262016035
balanced_topk1_chunks4,balanced,1,4,28,"D,P",2.1770238876342773,2.194432020187378,0.017408132553100586,0.007932864811011162
balanced_topk1_chunks4,balanced,1,4,29,"P,D",2.1770238876342773,2.1934080123901367,0.016384124755859375,0.00746971136391799
balanced_topk1_chunks4,balanced,1,4,30,"D,P",2.180095911026001,2.1913599967956543,0.01126408576965332,0.005140226063323408
balanced_topk1_chunks4,balanced,1,4,31,"P,D",2.1770238876342773,2.1923840045928955,0.015360116958618164,0.007006125262016035
balanced_topk1_chunks4,balanced,1,4,32,"D,P",2.1729280948638916,2.1934080123901367,0.020479917526245117,0.009337030507118618
balanced_topk1_chunks4,balanced,1,4,33,"P,D",2.1667840480804443,2.1821439266204834,0.015359878540039062,0.007038893426166953
balanced_topk1_chunks4,balanced,1,4,34,"D,P",2.032639980316162,2.1288959980010986,0.09625601768493652,0.04521405356359116
balanced_topk1_chunks4,balanced,1,4,35,"P,D",2.032639980316162,2.046976089477539,0.014336109161376953,0.007003554772853276
balanced_topk1_chunks4,balanced,1,4,36,"D,P",2.032639980316162,2.0480000972747803,0.015360116958618164,0.0075000567524666955
balanced_topk1_chunks4,balanced,1,4,37,"P,D",2.0336639881134033,2.0480000972747803,0.014336109161376953,0.007000052968968915
balanced_topk1_chunks4,balanced,1,4,38,"D,P",2.0336639881134033,2.0480000972747803,0.014336109161376953,0.007000052968968915
balanced_topk1_chunks4,balanced,1,4,39,"P,D",2.0305919647216797,2.0480000972747803,0.017408132553100586,0.008500064319462255
balanced_topk1_chunks4,balanced,1,4,40,"D,P",2.0336639881134033,2.045952081680298,0.012288093566894531,0.006006051498920041
balanced_topk1_chunks4,balanced,1,4,41,"P,D",2.031615972518921,2.0449280738830566,0.013312101364135742,0.006509813980331233
balanced_topk1_chunks4,balanced,1,4,42,"D,P",2.0285439491271973,2.0449280738830566,0.016384124755859375,0.008012078745023056
balanced_topk1_chunks4,balanced,1,4,43,"P,D",2.0295679569244385,2.042880058288574,0.013312101364135742,0.006516340159141783
balanced_topk1_chunks4,balanced,1,4,44,"D,P",2.0285439491271973,2.0439040660858154,0.015360116958618164,0.007515087040280517
