seed,family,job,rank,mode,descriptor_index,trigger,chunk_ids,tokens,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,reveal_to_commit_us,packing_delay_us,post_pack_enqueue_delay_us,gpu_queue_delay_us,gpu_queue_clock_map_raw_us,adapter_issue_host_ns,adapter_issue_before_final_router,ready_to_gpu_start_us,bridge_publish_delay_us,state_binder_guard_us,frozen_cpu_packing_us,digest_bookkeeping_us,adapter_cpu_byte_pack_us,native_wrapper_to_launch_return_us,kernel_launch_api_us,put_kernel_duration_us,queue_previous_put_us,queue_future_router_us,queue_staging_us,queue_other_idle_us,native_put_issue_before_final_router,put_gpu_start_after_final_router,router_put_gpu_overlap,wrong_event_dependency,future_pack_dependency,event_reuse_hazard,put_blocked_by_previous_wait,put_blocked_by_previous_put,put_blocked_by_unresolved_event,pack_event_id,pack_event_producer_stream,comm_stream,comm_stream_sequence_number,preceding_operation,dependency_resolved_sync
13042,balanced,0,0,dependency_resolved,6,7,6+7,1024,10813315480611345,10813315480665996,10813315481287692,10813315481318599,10813315594141273,10813315594434790,10813315594543141,10813315620259553,10813315594619431,10813315620312097,10813315622626336,10813315622623656,10813315622637828,10813315622741878,10813315622747949,10813315622754789,10813315622756391,10813315626291235,N/A,10813315626337329,10813315626342438,10813315481287692,138971.861,2366.783,128.453,1.602,1.602,10813315618870431,False,141468.699,30.907,113224.542,1647.379,22552.968,1336.211,12.911,6.84,3534.844,0.0,0.0,0.0,1.602,False,True,False,0,0,0,0,0,0,139860175384352,0,158579856,7,previous_put_or_self_copy,True
13042,skewed,0,0,normal,0,0,0,512,10813316430625389,10813316430822560,10813316431250016,10813316431367102,10813316435546533,10813316435630793,10813316435721111,10813316448789060,10813316435836706,10813316448832432,10813316450177967,10813316450175755,10813316450186525,10813316450276165,10813316450282405,10813316450289583,10813316450289510,10813316450552666,N/A,10813316578338658,10813316578343783,10813316436177504,17539.044,1388.907,111.616,0.0,-0.073,10813316448077859,False,19039.494,117.086,4354.009,823.872,11364.261,646.712,13.418,7.178,263.156,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860176519360,0,158579856,1,origin_event,False
13042,skewed,0,0,normal,1,1,1,512,10813316431320672,10813316431450240,10813316433976352,10813316434015221,10813316454123486,10813316454219305,10813316454305226,10813316467034832,10813316454377851,10813316467081135,10813316468368305,10813316468365689,10813316468376147,10813316468465543,10813316468472405,10813316468479274,10813316468479838,10813316468632416,N/A,10813316578346846,10813316578350939,10813316436177504,33058.48,1333.473,110.969,0.564,0.564,10813316466387540,False,34503.486,38.869,20290.005,811.206,11150.287,594.441,13.731,6.869,152.578,0.0,0.0,0.0,0.564,False,True,False,0,0,0,0,0,0,139860176520480,0,158579856,2,previous_put_or_self_copy,False
13042,skewed,0,0,normal,2,2,2,512,10813316434015073,10813316434084096,10813316434272320,10813316434303062,10813316472281225,10813316472395345,10813316472480940,10813316485230001,10813316472554808,10813316485280689,10813316486589359,10813316486586468,10813316486596577,10813316486691505,10813316486698397,10813316486707076,10813316486704986,10813316486860642,N/A,10813316578354018,10813316578359127,10813316436177504,50957.681,1359.358,117.717,0.0,-2.09,10813316484584817,False,52432.666,30.742,38177.878,805.807,11177.97,587.403,15.571,8.679,155.656,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860176521600,0,158579856,3,previous_put_or_self_copy,False
13042,skewed,0,0,normal,3,3,3,512,10813316434303014,10813316434364544,10813316434552896,10813316434580295,10813316490416105,10813316490553124,10813316490631645,10813316503384544,10813316490704252,10813316503433140,10813316504755116,10813316504751254,10813316504760815,10813316504858521,10813316504865490,10813316504874109,10813316504872799,10813316505311064,N/A,10813316578361174,10813316578367330,10813316436177504,68831.648,1370.572,118.993,0.0,-1.31,10813316502711899,False,70319.903,27.399,56051.35,810.061,11151.184,618.658,15.588,8.619,438.265,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860176522720,0,158579856,4,previous_put_or_self_copy,False
13042,skewed,0,0,normal,4,4,4,512,10813316434580182,10813316434639040,10813316434814464,10813316434840465,10813316508913147,10813316509060631,10813316509146132,10813316521903349,10813316509219768,10813316521953205,10813316523257771,10813316523254041,10813316523263933,10813316523361085,10813316523367234,10813316523380986,10813316523374439,10813316523566939,N/A,10813316578370392,10813316578375517,10813316436177504,87088.885,1354.422,123.215,0.0,-6.547,10813316521265109,False,88559.975,26.001,74305.667,809.878,11189.291,584.872,19.901,13.752,192.5,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860176523840,0,158579856,5,previous_put_or_self_copy,False
13042,skewed,0,0,normal,5,5,5,512,10813316434840531,10813316434897952,10813316435089600,10813316435169400,10813316527128089,10813316527297221,10813316527384173,10813316540165017,10813316527456767,10813316540216236,10813316541521839,10813316541517739,10813316541527511,10813316541630800,10813316541637505,10813316541645543,10813316541644642,10813316541803361,N/A,10813316578377564,10813316578382689,10813316436177504,105075.417,1356.822,123.704,0.0,-0.901,10813316539513698,False,106555.042,79.8,92214.773,811.827,11200.063,594.467,14.743,8.038,158.719,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860176524960,0,158579856,6,previous_put_or_self_copy,False
13042,skewed,0,0,normal,6,7,6+7,1024,10813316435921162,10813316435982304,10813316436177504,10813316436204577,10813316548962768,10813316549307993,10813316549405931,10813316575243801,10813316549484456,10813316575315891,10813316577683384,10813316577680866,10813316577693039,10813316577811822,10813316577818687,10813316577827550,10813316577825627,10813316578335596,N/A,10813316578385753,10813316583614299,10813316436177504,139066.297,2439.583,144.166,0.0,-1.923,10813316573846106,False,141648.123,27.073,113201.354,1608.2,22700.213,1337.739,15.728,8.863,509.969,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860176526752,0,158579856,7,previous_put_or_self_copy,False
13042,all_to_one_like,0,0,normal,0,0,0,512,10813317584016703,10813317584452124,10813317584928988,10813317585307206,10813317589719425,10813317589853078,10813317589978195,10813317602820903,10813317590091053,10813317602862654,10813317604180540,10813317604178438,10813317604189471,10813317604283381,10813317604289732,10813317604297454,10813317604296095,10813317604313502,N/A,10813317730311589,10813317730319760,10813317590416380,17891.915,1359.637,116.914,0.0,-1.359,10813317602158874,False,19367.107,378.218,4670.989,827.988,11169.114,588.498,14.073,7.722,17.407,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860573354736,0,158579856,1,origin_event,False
13042,all_to_one_like,0,0,normal,1,1,1,512,10813317585304889,10813317587795324,10813317588131324,10813317588171128,10813317607966995,10813317608067757,10813317608151761,10813317620904301,10813317608221049,10813317620949568,10813317622176314,10813317622172971,10813317622181660,10813317622265155,10813317622271216,10813317622278919,10813317622277533,10813317622294939,N/A,10813317730327963,10813317730333088,10813317590416380,32772.977,1272.013,102.605,0.0,-1.386,10813317620261662,False,34146.209,39.804,19980.633,828.392,11165.97,587.554,13.764,7.703,17.406,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860573341856,0,158579856,2,previous_put_or_self_copy,False
